Nationality,Race_Wins
Argentina,38.0
Australia,43.0
Austria,41.0
Belgium,11.0
Belgium France,0.0
Brazil,101.0
Canada,17.0
Chile,0.0
China,0.0
Colombia,7.0
Czech Republic,0.0
Denmark,0.0
East Germany,0.0
"East Germany, West Germany",0.0
Finland,57.0
France,81.0
Germany,176.0
Hungary,0.0
India,0.0
Indonesia,0.0
Ireland,0.0
Italy,43.0
Japan,0.0
Liechtenstein,0.0
Malaysia,0.0
Mexico,6.0
Monaco,5.0
Monaco Netherlands,0.0
Morocco,0.0
Netherlands,36.0
New Zealand,12.0
Poland,1.0
Portugal,0.0
RAF,0.0
Rhodesia,0.0
Rhodesia and Nyasaland,0.0
Russia,0.0
South Africa,10.0
Spain,33.0
Sweden,12.0
Switzerland,7.0
Thailand,0.0
United Kingdom,309.0
United States,33.0
Uruguay,0.0
Venezuela,1.0
West Germany,3.0
